CountryID,income_id
ABW,HIC
AFG,LIC
AGO,LMC
ALB,UMC
AND,HIC
ARE,HIC
ARG,HIC
ARM,UMC
ASM,UMC
ATG,HIC
AUS,HIC
AUT,HIC
AZE,UMC
BDI,LIC
BEL,HIC
BEN,LIC
BFA,LIC
BGD,LMC
BGR,UMC
BHR,HIC
BHS,HIC
BIH,UMC
BLR,UMC
BLZ,UMC
BMU,HIC
BOL,LMC
BRA,UMC
BRB,HIC
BRN,HIC
BTN,LMC
BWA,UMC
CAF,LIC
CAN,HIC
CHE,HIC
CHI,HIC
CHL,HIC
CHN,UMC
CIV,LMC
CMR,LMC
COD,LIC
COG,LMC
COL,UMC
COM,LIC
CPV,LMC
CRI,UMC
CUB,UMC
CUW,HIC
CYM,HIC
CYP,HIC
CZE,HIC
DEU,HIC
DJI,LMC
DMA,UMC
DNK,HIC
DOM,UMC
DZA,UMC
ECU,UMC
EGY,LMC
ERI,LIC
ESP,HIC
EST,HIC
ETH,LIC
FIN,HIC
FJI,UMC
FRA,HIC
FRO,HIC
FSM,LMC
GAB,UMC
GBR,HIC
GEO,LMC
GHA,LMC
GIB,HIC
GIN,LIC
GMB,LIC
GNB,LIC
GNQ,UMC
GRC,HIC
GRD,UMC
GRL,HIC
GTM,UMC
GUM,HIC
GUY,UMC
HKG,HIC
HND,LMC
HRV,HIC
HTI,LIC
HUN,HIC
IDN,LMC
IMN,HIC
IND,LMC
IRL,HIC
IRN,UMC
IRQ,UMC
ISL,HIC
ISR,HIC
ITA,HIC
JAM,UMC
JOR,UMC
JPN,HIC
KAZ,UMC
KEN,LMC
KGZ,LMC
KHM,LMC
KIR,LMC
KNA,HIC
KOR,HIC
KWT,HIC
LAO,LMC
LBN,UMC
LBR,LIC
LBY,UMC
LCA,UMC
LIE,HIC
LKA,LMC
LSO,LMC
LTU,HIC
LUX,HIC
LVA,HIC
MAC,HIC
MAF,HIC
MAR,LMC
MCO,HIC
MDA,LMC
MDG,LIC
MDV,UMC
MEX,UMC
MHL,UMC
MKD,UMC
MLI,LIC
MLT,HIC
MMR,LMC
MNE,UMC
MNG,LMC
MNP,HIC
MOZ,LIC
MRT,LMC
MUS,UMC
MWI,LIC
MYS,UMC
NAM,UMC
NCL,HIC
NER,LIC
NGA,LMC
NIC,LMC
NLD,HIC
NOR,HIC
NPL,LIC
NRU,UMC
NZL,HIC
OMN,HIC
PAK,LMC
PAN,HIC
PER,UMC
PHL,LMC
PLW,HIC
PNG,LMC
POL,HIC
PRI,HIC
PRT,HIC
PRY,UMC
PSE,LMC
PYF,HIC
QAT,HIC
ROU,UMC
RUS,UMC
RWA,LIC
SAU,HIC
SDN,LMC
SEN,LIC
SGP,HIC
SLB,LMC
SLE,LIC
SLV,LMC
SMR,HIC
SOM,LIC
SRB,UMC
SSD,LIC
STP,LMC
SUR,UMC
SVK,HIC
SVN,HIC
SWE,HIC
SWZ,LMC
SXM,HIC
SYC,HIC
SYR,LIC
TCA,HIC
TCD,LIC
TGO,LIC
THA,UMC
TJK,LIC
TKM,UMC
TLS,LMC
TON,UMC
TTO,HIC
TUN,LMC
TUR,UMC
TUV,UMC
TWN,HIC
TZA,LIC
UGA,LIC
UKR,LMC
URY,HIC
USA,HIC
UZB,LMC
VCT,UMC
VEN,UMC
VGB,HIC
VIR,HIC
VNM,LMC
VUT,LMC
WSM,UMC
XKX,LMC
YEM,LIC
ZAF,UMC
ZMB,LMC
ZWE,LIC
