CountryID,Attribute,Value
ABW,agricultural,0
ABW,construction,0
ABW,e-waste,0
ABW,hazardous,0
ABW,industrial,0
ABW,medical,0
ABW,domestic,88132.0167
AFG,agricultural,6802511
AFG,construction,0
AFG,e-waste,20000
AFG,hazardous,0
AFG,industrial,0
AFG,medical,9855
AFG,domestic,5628525.37
AGO,agricultural,0
AGO,construction,0
AGO,e-waste,92000
AGO,hazardous,0
AGO,industrial,0
AGO,medical,5495.95
AGO,domestic,4213643.585
ALB,agricultural,0
ALB,construction,203009
ALB,e-waste,20000
ALB,hazardous,5714.82
ALB,industrial,270269
ALB,medical,114.3
ALB,domestic,1087446.75
AND,agricultural,0
AND,construction,0
AND,e-waste,0
AND,hazardous,1788
AND,industrial,0
AND,medical,0
AND,domestic,43000
ARE,agricultural,493106
ARE,construction,2876313
ARE,e-waste,134000
ARE,hazardous,57525
ARE,industrial,3306644
ARE,medical,4573
ARE,domestic,5617682
ARG,agricultural,0
ARG,construction,0
ARG,e-waste,291700
ARG,hazardous,310044
ARG,industrial,0
ARG,medical,0
ARG,domestic,17910550
ARM,agricultural,1570
ARM,construction,7820
ARM,e-waste,14000
ARM,hazardous,62270
ARM,industrial,47310540
ARM,medical,0
ARM,domestic,492800
ASM,agricultural,0
ASM,construction,0
ASM,e-waste,0
ASM,hazardous,0
ASM,industrial,0
ASM,medical,0
ASM,domestic,18989.49
ATG,agricultural,0
ATG,construction,0
ATG,e-waste,1100
ATG,hazardous,0
ATG,industrial,0
ATG,medical,0
ATG,domestic,30585
AUS,agricultural,0
AUS,construction,20000000
AUS,e-waste,574000
AUS,hazardous,7000000
AUS,industrial,31000000
AUS,medical,0
AUS,domestic,13345000
AUT,agricultural,1887723
AUT,construction,42423893
AUT,e-waste,166174
AUT,hazardous,1272288
AUT,industrial,0
AUT,medical,696748
AUT,domestic,5219715.5
AZE,agricultural,0
AZE,construction,0
AZE,e-waste,63000
AZE,hazardous,296979.4
AZE,industrial,0
AZE,medical,0
AZE,domestic,2930349
BDI,agricultural,0
BDI,construction,0
BDI,e-waste,5000
BDI,hazardous,0
BDI,industrial,0
BDI,medical,0
BDI,domestic,1872016
BEL,agricultural,5635143
BEL,construction,35824399
BEL,e-waste,603575
BEL,hazardous,2946195
BEL,industrial,0
BEL,medical,2397368
BEL,domestic,4765883
BEN,agricultural,0
BEN,construction,0
BEN,e-waste,8200
BEN,hazardous,0
BEN,industrial,0
BEN,medical,1698
BEN,domestic,685936.01
BFA,agricultural,0
BFA,construction,0
BFA,e-waste,11000
BFA,hazardous,7871
BFA,industrial,0
BFA,medical,0
BFA,domestic,2575251.11
BGD,agricultural,65000000
BGD,construction,0
BGD,e-waste,142000
BGD,hazardous,114358
BGD,industrial,26884
BGD,medical,12271
BGD,domestic,14778497.33
BGR,agricultural,983646
BGR,construction,172369117
BGR,e-waste,53785
BGR,hazardous,12206169
BGR,industrial,0
BGR,medical,518228
BGR,domestic,2859190
BHR,agricultural,0
BHR,construction,570099.67
BHR,e-waste,20000
BHR,hazardous,31000
BHR,industrial,140000
BHR,medical,911000
BHR,domestic,951942.9695
BHS,agricultural,0
BHS,construction,0
BHS,e-waste,4900
BHS,hazardous,0
BHS,industrial,0
BHS,medical,0
BHS,domestic,264000
BIH,agricultural,0
BIH,construction,252310
BIH,e-waste,1409
BIH,hazardous,8408
BIH,industrial,4048650
BIH,medical,8150
BIH,domestic,1248718
BLR,agricultural,0
BLR,construction,0
BLR,e-waste,72000
BLR,hazardous,1336926
BLR,industrial,0
BLR,medical,0
BLR,domestic,4280000
BLZ,agricultural,0
BLZ,construction,0
BLZ,e-waste,2300
BLZ,hazardous,0
BLZ,industrial,0
BLZ,medical,188
BLZ,domestic,101378.8303
BMU,agricultural,0
BMU,construction,0
BMU,e-waste,0
BMU,hazardous,525
BMU,industrial,0
BMU,medical,0
BMU,domestic,82000
BOL,agricultural,0
BOL,construction,0
BOL,e-waste,35392
BOL,hazardous,545183
BOL,industrial,0
BOL,medical,4683
BOL,domestic,2219052
BRA,agricultural,0
BRA,construction,45158165
BRA,e-waste,1411900
BRA,hazardous,0
BRA,industrial,0
BRA,medical,260063
BRA,domestic,79069584
BRB,agricultural,0
BRB,construction,184957
BRB,e-waste,3800
BRB,hazardous,9410.337
BRB,industrial,0
BRB,medical,0
BRB,domestic,174815.4444
BRN,agricultural,0
BRN,construction,0
BRN,e-waste,7700
BRN,hazardous,0
BRN,industrial,0
BRN,medical,195
BRN,domestic,216253.156
BTN,agricultural,0
BTN,construction,0
BTN,e-waste,1457.5
BTN,hazardous,0
BTN,industrial,1476.37
BTN,medical,358
BTN,domestic,111314.05
BWA,agricultural,0
BWA,construction,0
BWA,e-waste,16000
BWA,hazardous,0
BWA,industrial,0
BWA,medical,2500
BWA,domestic,210854.4426
CAF,agricultural,0
CAF,construction,0
CAF,e-waste,2700
CAF,hazardous,0
CAF,industrial,0
CAF,medical,0
CAF,domestic,1105983
CAN,agricultural,181000000
CAN,construction,653255
CAN,e-waste,724000
CAN,hazardous,0
CAN,industrial,1118000000
CAN,medical,0
CAN,domestic,25103034
CHE,agricultural,0
CHE,construction,6390000
CHE,e-waste,184000
CHE,hazardous,1200000
CHE,industrial,1470000
CHE,medical,0
CHE,domestic,6079556
CHI,agricultural,0
CHI,construction,0
CHI,e-waste,0
CHI,hazardous,0
CHI,industrial,0
CHI,medical,0
CHI,domestic,178933
CHL,agricultural,0
CHL,construction,0
CHL,e-waste,176000
CHL,hazardous,249755
CHL,industrial,0
CHL,medical,0
CHL,domestic,6517000
CHN,agricultural,4000000000
CHN,construction,1500000000
CHN,e-waste,7211000
CHN,hazardous,34652400
CHN,industrial,3270790000
CHN,medical,0
CHN,domestic,395081376
CIV,agricultural,0
CIV,construction,0
CIV,e-waste,22000
CIV,hazardous,0
CIV,industrial,0
CIV,medical,0
CIV,domestic,4440814.27
CMR,agricultural,0
CMR,construction,0
CMR,e-waste,19000
CMR,hazardous,8716.6
CMR,industrial,0
CMR,medical,0
CMR,domestic,3270616.59
COD,agricultural,0
COD,construction,0
COD,e-waste,0
COD,hazardous,0
COD,industrial,0
COD,medical,0
COD,domestic,14385226.02
COG,agricultural,0
COG,construction,0
COG,e-waste,0
COG,hazardous,0
COG,industrial,0
COG,medical,0
COG,domestic,451200
