CountryID,Food_Organic_Waste,Glass_Waste,Metalic_Waste,Other_Waste,Paper_CardBoard_Waste,Plastic_Waste,Rubber_Leather_Waste,Wood_percent,Garden_Green_Waste
ABW,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,0,0
AGO,51.8,6.7,4.4,11.5,11.9,13.5,0,0,0
ALB,51.4,4.5,4.8,15.21,9.9,9.6,0,4.6,0
AND,31.2,8.2,2.6,11.6,35.1,11.3,0,0,0
ARE,39,4,3,10,25,19,0,0,0
ARG,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95
ARM,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,0
ASM,19.7,3.4,7.9,25.6,26.4,12.8,4.2,0,0
ATG,46,7,7,12,15,13,0,0,0
AUS,48.44,3.81,19.38,3.46,17.3,7.61,0,0,0
AUT,31.4,7,4.4,18.5,19.7,11.1,0,7.9,0
AZE,45.19,5.28,3.49,13.73,10.93,7.87,3.09,0,10.42
BDI,81,2.9,2.1,3.2,7.3,3.5,0,0,0
BEL,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84
BEN,52.1,1.6,1.6,34.3,3.1,7.3,0,0,0
BFA,21,1,1,61,7,9,0,0,0
BGD,80.58,0.44,0.5,8.59,3.04,4.67,1.08,0,1.1
BGR,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18
BHR,59.1,3.4,2.1,15.2,12.8,7.4,0,0,0
BHS,46,7,7,12,15,13,0,0,0
BIH,0,0,0,92.7,4.9,0,0,0,2.4
BLR,30,8,2,35,5,12,6,2,0
BLZ,47,8,5,5,16,19,0,0,0
BMU,17,9,6,26,29,13,0,0,0
BOL,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,0,0,0
BRA,51.4,2.4,2.9,16.7,13.1,13.5,0,0,0
BRB,18.3,3.7,4.9,5.7,19.7,17.1,12.1,0,18.6
BRN,36,3,4,15,18,16,1,1,6
BTN,58,4,1,7,17,13,0,0,0
BWA,8.1,0,0.1,91.9,0,0,0,0,0
CAF,0,0,0,0,0,0,0,0,0
CAN,24,6,13,8,47,3,0,0,0
CHE,29,4,3,29,20,15,0,0,0
CHI,0,0,0,0,0,0,0,0,0
CHL,53.3,6.6,2.3,16,12.4,9.4,0,0,0
CHN,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,0
CIV,0,0,0,0,0,0,0,0,0
CMR,83.4,0.1,0.7,10.4,2.1,3.3,0,0,0
COD,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0
COL,59.58,2.35,1.1,15.74,8.4,12.83,0,0,0
COM,50,2,4,22,7,5,0,0,10
CPV,0,0,0,0,0,0,0,0,0
CRI,58,1,2,7,21,11,0,0,0
CUB,68.9,4.6,1.6,3,12.3,9.6,0,0,0
CUW,0,0,0,0,0,0,0,0,0
CYM,10.9,3.5,6.2,11.4,31.1,11,0,7.3,18.6
CYP,41.47,2.66,3.25,10.07,25.7,14.77,0,2.08,0
CZE,62.3,2.4,8.4,14.9,9.1,2.2,0,0.7,0
DEU,30,10,1.4,17.7,24,13,4,0,0
DJI,0,0,0,0,0,0,0,0,0
DMA,45,8,5,14,12,16,0,0,0
DNK,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46
DOM,51,6,3,10,16,10,0,4,0
DZA,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,0
ECU,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,0
EGY,56,4,2,15,10,13,0,0,0
ERI,0,0,0,0,0,0,0,0,0
ESP,49,8,3,14,15,9,0,2,0
EST,36.7,8.3,2.6,15.9,17.5,18.6,0,0.4,0
ETH,87.6,0.8,1.2,4.4,3.8,2.3,0,0,0
FIN,35.88,9.24,1.7,13.13,37.83,1.45,0,0.73,0
FJI,33.2,4.1,1.9,3.5,12.5,7.5,0.1,0,37.2
FRA,32,10,3,26,20,9,0,0,0
FRO,0,0,0,0,0,0,0,0,0
FSM,23.83,7.07,16.73,9.32,13.3,26.17,3.58,0,0
GAB,0,0,0,0,0,0,0,0,0
GBR,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7
GEO,39,3,5,16,34,3,0,0,0
GHA,67,0,1,25,3,4,0,0,0
GIB,24.57,4.42,4.37,14.38,33.65,15.86,0,0,0
GIN,58,1,1,27,9,4,0,0,0
GMB,35,1.9,2.1,51.4,9.7,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0
GRC,40,3,3,9,29,14,2,0,0
GRD,27.1,3.1,2.4,36.5,13.6,16.4,0.9,0,0
GRL,42.8,7.1,2,33.4,11.4,2.4,0,1,0
GTM,37.71449118,4.39183558,0,18.01847364,16.04670215,17.29080875,0,0,6.537688691
GUM,27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,0
GUY,50.1,4.7,4.2,12.1,10.7,14.2,1.5,2.5,0
HKG,35,3,2,14,22,21,0,3,0
HND,57.9,1.27,2.11,6.62,17.36,14.41,0.33,0,0
HRV,30.9,3.7,2.1,11.5,23.2,22.9,0,0,5.7
HTI,61.3,1.6,2.5,16.8,4.1,12.7,0,1,0
HUN,22.5,3.5,1.8,45.9,13.4,13,0,0,0
IDN,53.8,2.5,1.8,12.9,14.9,14,0,0,0
IMN,0,0,0,0,0,0,0,0,0
IND,0,0,0,0,0,0,0,0,0
IRL,16.6,8.5,3.7,25.8,25,12.4,0,1.9,6.1
IRN,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,0
IRQ,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93
ISL,10,0,0,0,38,9,0,29,14
