CountryID,agricultural_waste_tons_year,construction_and_demolition_waste_tons_year,e_waste_tons_year,hazardous_waste_tons_year,industrial_waste_tons_year,medical_waste_tons_year,total_waste_generated_tons_year
ABW,0,0,0,0,0,0,88132.0167
AFG,6802511,0,20000,0,0,9855,5628525.37
AGO,0,0,92000,0,0,5495.95,4213643.585
ALB,0,203009,20000,5714.82,270269,114.3,1087446.75
AND,0,0,0,1788,0,0,43000
ARE,493106,2876313,134000,57525,3306644,4573,5617682
ARG,0,0,291700,310044,0,0,17910550
ARM,1570,7820,14000,62270,47310540,0,492800
ASM,0,0,0,0,0,0,18989.49
ATG,0,0,1100,0,0,0,30585
AUS,0,20000000,574000,7000000,31000000,0,13345000
AUT,1887723,42423893,166174,1272288,0,696748,5219715.5
AZE,0,0,63000,296979.4,0,0,2930349
BDI,0,0,5000,0,0,0,1872016
BEL,5635143,35824399,603575,2946195,0,2397368,4765883
BEN,0,0,8200,0,0,1698,685936.01
BFA,0,0,11000,7871,0,0,2575251.11
BGD,65000000,0,142000,114358,26884,12271,14778497.33
BGR,983646,172369117,53785,12206169,0,518228,2859190
BHR,0,570099.67,20000,31000,140000,911000,951942.9695
BHS,0,0,4900,0,0,0,264000
BIH,0,252310,1409,8408,4048650,8150,1248718
BLR,0,0,72000,1336926,0,0,4280000
BLZ,0,0,2300,0,0,188,101378.8303
BMU,0,0,0,525,0,0,82000
BOL,0,0,35392,545183,0,4683,2219052
BRA,0,45158165,1411900,0,0,260063,79069584
BRB,0,184957,3800,9410.337,0,0,174815.4444
BRN,0,0,7700,0,0,195,216253.156
BTN,0,0,1457.5,0,1476.37,358,111314.05
BWA,0,0,16000,0,0,2500,210854.4426
CAF,0,0,2700,0,0,0,1105983
CAN,181000000,653255,724000,0,1118000000,0,25103034
CHE,0,6390000,184000,1200000,1470000,0,6079556
CHI,0,0,0,0,0,0,178933
CHL,0,0,176000,249755,0,0,6517000
CHN,4000000000,1500000000,7211000,34652400,3270790000,0,395081376
CIV,0,0,22000,0,0,0,4440814.27
CMR,0,0,19000,8716.6,0,0,3270616.59
COD,0,0,0,0,0,0,14385226.02
COG,0,0,0,0,0,0,451200
COL,0,0,252200,270146.3,0,27704,12150120
COM,0,0,600,0,0,0,91013
CPV,0,0,2400,3548.92,0,76,132555
CRI,0,800000,35800,0,0,0,1460000
CUB,0,0,0,565216,0,0,2692691.98
CUW,0,0,0,0,0,0,24703.8132
CYM,0,0,0,0,0,0,60000
CYP,112018,1377767,18137,173377,0,21404,769485.125
CZE,583264,13379041,79581,1162342,0,797432,5334854.5
DEU,15011037,275413069,2465085,21812660,0,8821344,50627876
DJI,0,0,900,0,0,0,114997.249
DMA,0,0,0,627,0,0,13176
DNK,1087281,11402900,168614,1718394,0,317413,4910858.5
DOM,0,0,57000,0,0,0,4063910
DZA,0,11000000,252000,330000,2547000,30000,12378740
ECU,0,0,73000,193812,0,11292,5297211.143
EGY,30000000,4000000,497000,380000,6000000,28300,21000000
ERI,0,0,3800,0,0,0,726957.37
ESP,8058640,52155411,1202597,2984518,0,2990346,22408548
EST,149633,18094986,34312,10410321,0,1750157,489511.7188
ETH,0,0,49000,0,0,0,6532786.97
FIN,1079091,84662998,212954,1998693,0,1006713,3124497.75
FJI,0,0,4600,0,0,316.16,189389.594
FRA,11304163,236301207,2218682,10783405,0,4867183,36748820
FRO,0,0,0,0,0,0,61000
FSM,0,0,200,0,0,73.47,26039.57
GAB,0,0,14000,0,0,0,238102.31
GBR,10365788,156803699,3584126,5755258,0,4218205,30771140
GEO,0,0,21000,0,0,0,800000
GHA,0,0,39000,0,0,0,3538274.978
GIB,0,30000,201.44,58995.04,0,0,16954
GIN,0,0,8000,0,0,0,596911
GMB,0,0,2200,0,0,0,193440.54
GNB,0,0,1000,0,0,0,289514
GNQ,0,0,0,0,0,0,198443.06
